rank,make,model_gen,generation,segment,score,weight_coverage,stock,rarity_tier,rarity,conservation,sorn_ratio,recent_inflection_point,relative_attrition,inflection_year,latest_year,components_available
35,LOTUS,EXIGE,S2,SPORTIVE,0.6529449398179301,1.0,413,<500,0.4419627597552622,0.7862903225806451,0.5084269662921348,1.0,-0.0354916219983665,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
36,NISSAN,200SX,S14,COUPE,0.6511173719457095,1.0,417,<500,0.4410697970867305,0.532258064516129,0.8183921341816078,1.0,-0.009953516177780772,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
37,RENAULT,CLIO RS,MK2,GTI,0.6489472377774426,1.0,1668,>=500,0.31263772101949366,0.8306451612903225,0.6593137254901961,1.0,-0.042082606315923726,2021,2025,rarity|conservation|sorn_ratio|recent_inflection_point
38,FORD,FOCUS RS,MK2,GTI,0.6481542919475974,1.0,1607,>=500,0.31608929195073904,0.9314516129032258,0.5233006826951617,1.0,-0.06292516870871094,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
39,NISSAN,300ZX,Z32,SPORTIVE,0.6463638528711941,1.0,515,>=500,0.42151440498197906,0.5161290322580645,0.8490077653149266,1.0,-0.008397973646478527,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
40,PORSCHE,944,944,COUPE,0.6455379853844658,1.0,3166,>=500,0.2532672989226906,0.8508064516129032,0.7209640892914915,1.0,-0.04492872407875988,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
41,SUZUKI,CAPPUCCINO,EA11R,ROADSTER,0.6437945996472804,1.0,181,<500,0.5183896112687885,0.41129032258064513,0.7976782752902156,1.0,-0.0003961969342082122,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
42,MITSUBISHI,LANCER EVOLUTION,V_VI,SPORTIVE,0.6431223393320475,1.0,256,<500,0.48627169573105294,0.49193548387096775,0.7497168742921857,1.0,-0.006539273015683619,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
43,ASTON MARTIN,VANQUISH,I,SUPERCAR,0.6429169808438413,1.0,121,<500,0.5556980152057706,0.5201612903225806,0.5919117647058824,1.0,-0.008849726751377907,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
44,VOLKSWAGEN,CORRADO,53I,COUPE,0.6423451428886169,1.0,1735,>=500,0.30898919858443147,0.6935483870967741,0.804059133049361,1.0,-0.026198312779486175,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
45,BMW,1M,E82,SPORTIVE,0.6376821479521714,1.0,221,<500,0.4998917530440059,0.6975806451612903,0.4416243654822335,1.0,-0.026378799264997338,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
46,FORD,ESCORT RS TURBO,MK4,GTI,0.6366223299620843,1.0,592,>=500,0.4086053924039365,0.4596774193548387,0.8934554389099844,1.0,-0.0041230298907767166,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
47,FERRARI,612,612,COUPE,0.6281699831272824,1.0,214,<500,0.5028736615652629,0.6733870967741935,0.4190871369294606,1.0,-0.02248182120332752,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
