make,model_gen,generation,country,horizon,year,stock_now,stock_projected,low,high,k_median,lambda_median,cohorts_fitted,cohorts_total
TVR,CHIMAERA,CHIMAERA,GB,10,2035,706,440,297,538,1.7000000000000002,31.85313872556996,3,13
VOLKSWAGEN,GOLF GTI,MK4,GB,5,2030,4348,1592,1087,2098,1.4500000000000002,10.92718549462251,4,8
VOLKSWAGEN,GOLF GTI,MK4,GB,10,2035,4348,544,249,966,1.4500000000000002,10.92718549462251,4,8
VOLKSWAGEN,GOLF GTI,MK5,GB,5,2030,10208,5960,5325,6526,2.7,22.18728744760863,5,8
VOLKSWAGEN,GOLF GTI,MK5,GB,10,2035,10208,2840,2163,3551,2.7,22.18728744760863,5,8
VOLKSWAGEN,GOLF GTI,MK6,GB,5,2030,4945,4130,3815,4364,2.05,32.83290120044576,4,4
VOLKSWAGEN,GOLF GTI,MK6,GB,10,2035,4945,3331,2826,3748,2.05,32.83290120044576,4,4
VOLKSWAGEN,GOLF GTI,MK7,GB,5,2030,7104,6634,6153,6873,1.4500000000000002,60.81254455422254,3,7
VOLKSWAGEN,GOLF GTI,MK7,GB,10,2035,7104,6141,5230,6622,1.4500000000000002,60.81254455422254,3,7
VOLKSWAGEN,GOLF R,MK5,GB,5,2030,2780,1836,1642,2002,2.4499999999999997,23.6209830546895,4,4
VOLKSWAGEN,GOLF R,MK5,GB,10,2035,2780,1078,843,1313,2.4499999999999997,23.6209830546895,4,4
VOLKSWAGEN,GOLF R,MK6,GB,5,2030,983,793,667,871,1.4500000000000002,38.26724988410146,4,4
VOLKSWAGEN,GOLF R,MK6,GB,10,2035,983,626,464,759,1.4500000000000002,38.26724988410146,4,4
VOLKSWAGEN,PHAETON,3D,GB,5,2030,549,222,119,315,2.5,16.507609144778712,10,13
VOLKSWAGEN,PHAETON,3D,GB,10,2035,549,80,28,173,2.5,16.507609144778712,10,13
VOLKSWAGEN,POLO GTI,6R,GB,5,2030,852,688,473,784,1.7500000000000002,27.50097189631746,3,5
VOLKSWAGEN,POLO GTI,6R,GB,10,2035,852,527,254,708,1.7500000000000002,27.50097189631746,3,5
VOLKSWAGEN,POLO GTI,9N,GB,5,2030,595,267,170,358,3.1,19.730598833702008,3,4
VOLKSWAGEN,POLO GTI,9N,GB,10,2035,595,80,38,168,3.1,19.730598833702008,3,4
VOLKSWAGEN,SCIROCCO,MK3,GB,5,2030,33455,26145,19740,29216,2.85,27.24971027006399,8,10
VOLKSWAGEN,SCIROCCO,MK3,GB,10,2035,33455,18923,10516,24363,2.85,27.24971027006399,8,10
VOLVO,C70,I,GB,5,2030,1114,336,209,483,2.5,16.942407266169646,5,9
VOLVO,C70,I,GB,10,2035,1114,75,30,167,2.5,16.942407266169646,5,9
VOLVO,S60 R,P2,GB,5,2030,328,227,186,258,1.1,12.652515322271055,4,10
VOLVO,S60 R,P2,GB,10,2035,328,158,110,203,1.1,12.652515322271055,4,10
