make,model_gen,generation,segment,country,level,series,latest_year,stock,rarity_tier,cumulative_sales,survival,history_years,attrition,relative_attrition,n_peers,inflection_year,sorn_ratio
BMW,Z8,E52,ROADSTER,NL,generation,RDW,2026,38,<100,,1.0,0,,,0,,
CATERHAM,SEVEN,SEVEN,SPORTIVE,NL,generation,RDW,2026,106,<500,,1.0,0,,,0,,
CITROEN,C2 VTS,A6,GTI,GB,generation,VEH0124,2025,626,>=500,4504,0.13898756660746003,9,0.22857681342797917,0.10111161862446202,38,,0.5310861423220974
CITROEN,DS3 RACING,A55,GTI,GB,generation,VEH0124,2025,102,<500,173,0.5895953757225434,9,0.05966313012080624,0.011052696203149526,28,,0.25
CITROEN,DS3 RACING,A55,GTI,NL,generation,RDW,2026,69,<100,,1.0,0,,,0,,
CITROEN,SAXO VTS,S0,GTI,GB,generation,VEH0124,2025,99,<100,2359,0.041966935142009325,9,0.11065014520026943,0.017241553195306056,19,,0.9140625
CITROEN,XSARA VTS,N0,GTI,GB,generation,VEH0124,2025,19,<20,883,0.021517553793884484,9,0.14098370066697577,0.006837869897366927,27,,0.8944444444444445
FERRARI,348,348,SUPERCAR,NL,generation,RDW,2026,122,<500,,1.0,0,,,0,,
FERRARI,360,360,SUPERCAR,GB,generation,VEH0124,2025,446,<500,1227,0.3634881825590872,9,0.07045812204498302,0.024658487128062255,6,,0.5517587939698493
FERRARI,360,360,SUPERCAR,NL,generation,RDW,2026,261,<500,,1.0,0,,,0,,
FERRARI,456,456,COUPE,NL,generation,RDW,2026,93,<100,,1.0,0,,,0,,
FERRARI,458,458,SUPERCAR,GB,generation,VEH0124,2025,877,>=500,1861,0.4712520150456744,9,0.04507210697364827,-0.0031546453763581297,11,2025,0.4522173641474079
FERRARI,458,458,SUPERCAR,NL,generation,RDW,2026,267,<500,,1.0,0,,,0,,
FERRARI,550,550,SUPERCAR,NL,generation,RDW,2026,40,<100,,1.0,0,,,0,,
