country,make_raw,make,model_gen_raw,model_raw,model_gen,generation,count,source_file
GB,MERCEDES,MERCEDES-BENZ,MERCEDES 200,200E AUTO,,,47566,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,AUDI,AUDI,AUDI 100,100E AUTO,,,47363,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT 9,9GTL,,,47171,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,DAIMLER,MERCEDES-BENZ,DAIMLER 4.0,4.0 AUTO,,,47044,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MG,MG,MG GS,GS EXCLUSIVE,,,46951,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MITSUBISHI,MITSUBISHI,MITSUBISHI SPACE WAGON,SUPER SPACE WAGON,,,46645,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES AMG CLASS,AMG C63 PREMIUM AUTO,,,46351,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN BEETLE,1302 S BEETLE,,,45752,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,PEUGEOT,PEUGEOT,PEUGEOT INDEPENDENCE,INDEPENDENCE S,,,45734,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN BEETLE,1303 SUPER BEETLE,,,45394,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES 300,300CE AUTO,,,45131,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES 200,230CE AUTO,,,44716,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,GRD SCENIC EXPRESSION DCI,,,44407,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES 300,300E AUTO,,,43362,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,GRND SCENIC PRIVILEGE 16V,,,43298,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,DAIMLER,MERCEDES-BENZ,DAIMLER SOVEREIGN,SOVEREIGN 4.2 AUTO,,,43256,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES 200,220,,,43127,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT MODUS,G-MODUS DYNAMIQ DCI 86 SA,,,43110,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,LOTUS,LOTUS,LOTUS ELITE,ELITE,,,43005,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,PEUGEOT,PEUGEOT,PEUGEOT HORIZON,HORIZON RE,,,42937,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,AUDI,AUDI,AUDI QUATTRO,QUATTRO TURBO,,,42259,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES S CLASS,S320L AUTO,,,42070,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,SUZUKI,SUZUKI,SUZUKI SX,SX DT,,,41797,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MG,MG,MG GS,GS EXCLUSIVE S-A,,,41778,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES A CLASS,A200CDI AVANTGARDE SE CVT,,,41681,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FORD,FORD,FORD CARDINAL HEARSE,CARDINAL HEARSE AUTO,,,41680,df_VEH0120_GB.csv|df_VEH0124_AM.csv
