country,make_raw,make,count
GB,BOMBARDIER,BOMBARDIER,304
GB,BMC,BMC,297
GB,GAS GAS,GAS GAS,297
GB,GORDON MURRAY,GORDON MURRAY,293
GB,PUCH,PUCH,293
GB,JAMES,JAMES,291
GB,LONCIN,LONCIN,286
GB,VELOCETTE,VELOCETTE,279
GB,XINLING,XINLING,278
NL,RIMOR S.P.A.,RIMOR S.P.A.,277
GB,STRATHCARRON,STRATHCARRON,275
NL,WESTFIELD,WESTFIELD,267
NL,GIOTTILINE,GIOTTILINE,264
GB,R-VISION,R-VISION,262
GB,CAPRI,CAPRI,261
GB,CAGIVA,CAGIVA,260
GB,LEYLAND AM,LEYLAND AM,259
NL,JOINT,JOINT,254
NL,SUNBEAM,SUNBEAM,252
NL,MC LAREN,MC LAREN,252
GB,HYSTER,HYSTER,249
GB,ELECTRICARS,ELECTRICARS,248
NL,CONCORDE,CONCORDE,245
GB,UAZ,UAZ,245
GB,YALE,YALE,243
NL,MICRO COMPACT CAR,MICRO COMPACT CAR,241
GB,QUADZILLA,QUADZILLA,239
NL,KNAUS TABBERT,KNAUS TABBERT,238
GB,DUKAR,DUKAR,234
NL,HUMMER,HUMMER,233
NL,AUTOSTAR,AUTOSTAR,230
GB,IRIS.BUS,IRIS.BUS,226
GB,LEVC,LEVC,226
NL,RELIANT,RELIANT,225
GB,AVANTI,AVANTI,220
NL,BAVARIA,BAVARIA,219
GB,SAXON,SAXON,217
GB,SPYKER,SPYKER,210
NL,JENSEN,JENSEN,210
NL,D.K.W.,D.K.W.,207
GB,SKYWELL,SKYWELL,206
GB,GIBBS TECHNOLOGIES,GIBBS TECHNOLOGIES,206
NL,LUCID MOTORS,LUCID MOTORS,204
NL,WOLSELEY,WOLSELEY,204
NL,ITINEO,ITINEO,201
NL,NIESMANN+BISCHOFF,NIESMANN+BISCHOFF,200
NL,SERES,SERES,197
NL,MONCAYO,MONCAYO,197
NL,RILEY,RILEY,192
NL,HANOMAG-HENSCHEL,HANOMAG-HENSCHEL,192
GB,DINLI,DINLI,192
GB,PEGASO,PEGASO,191
GB,MK SPORTSCARS,MK SPORTSCARS,190
NL,STUDEBAKER,STUDEBAKER,190
NL,LA STRADA,LA STRADA,190
NL,FISKER,FISKER,185
GB,NOBLE AUTOMOTIVE,NOBLE AUTOMOTIVE,185
GB,LONDON TAXIS INT.,LONDON TAXIS INT.,183
GB,MATCHLESS,MATCHLESS,183
NL,SEA,SEA,183
GB,CAN-AM,CAN-AM,182
NL,KG MOBILITY,KG MOBILITY,181
NL,M.A.N.,M.A.N.,181
GB,LEYLAND NATIONAL,LEYLAND NATIONAL,175
GB,ZHENHUA,ZHENHUA,174
GB,LEYLAND REDLINE,LEYLAND REDLINE,174
NL,DFSK,DFSK,173
GB,BRA,BRA,170
NL,LADA-VAZ,LADA-VAZ,169
NL,AMERICAN MOTORS,AMERICAN MOTORS,167
NL,CI,CI,166
NL,FAW,FAW,164
NL,GMC,GMC,163
NL,PANHARD,PANHARD,163
GB,CLASSIC CUSTOM,CLASSIC CUSTOM,161
GB,TIGER,TIGER,159
GB,COUNTY COMM CARS,COUNTY COMM CARS,158
NL,PACKARD,PACKARD,157
NL,PUCH,PUCH,157
GB,PILGRIM,PILGRIM,157
NL,ZASTAVA,ZASTAVA,154
GB,WIESMANN,WIESMANN,153
NL,BORGWARD,BORGWARD,151
GB,MOBYLETTE,MOBYLETTE,151
NL,WARTBURG,WARTBURG,151
GB,FARBOUD,FARBOUD,150
NL,FORSTER,FORSTER,150
GB,MGB,MGB,149
NL,DERCKS,DERCKS,149
NL,DREAMER,DREAMER,148
GB,ROBIN HOOD,ROBIN HOOD,147
GB,KARRIER,KARRIER,147
GB,URBAN,URBAN,145
GB,MITSUBISHI FUSO,MITSUBISHI FUSO,145
NL,MAN,MAN,141
GB,CATERPILLAR,CATERPILLAR,140
NL,WILLYS OVERLAND,WILLYS OVERLAND,139
GB,EAGLE,EAGLE,135
GB,OPTARE,OPTARE,135
NL,UAZ,UAZ,135
NL,SINGER,SINGER,133
NL,ALVIS,ALVIS,133
NL,SANTANA,SANTANA,131
GB,BEAUFORD,BEAUFORD,130
NL,GENESIS,GENESIS,130
GB,JONWAY,JONWAY,129
NL,VOYAH,VOYAH,127
GB,BETA,BETA,127
NL,INNOCENTI,INNOCENTI,124
NL,KAISER,KAISER,123
NL,TOURNE MOBIL,TOURNE MOBIL,122
GB,CLARK,CLARK,121
GB,CFMOTO,CFMOTO,121
GB,BRONTO,BRONTO,119
GB,XINGYUE,XINGYUE,118
NL,DAIMLERCHRYSLER (USA),DAIMLERCHRYSLER (USA),117
NL,PILGRIM,PILGRIM,117
NL,BUGATTI,BUGATTI,116
NL,DE LOREAN,DE LOREAN,115
NL,BINZ,BINZ,113
NL,FLEURETTE,FLEURETTE,113
GB,MARSHALL,MARSHALL,110
GB,SMITHS,SMITHS,110
GB,PULSE,PULSE,108
GB,SITCAR,SITCAR,107
GB,YUAN,YUAN,106
NL,BERTONE,BERTONE,106
GB,BENELLI,BENELLI,105
NL,DEEPAL,DEEPAL,104
NL,HOTCHKISS,HOTCHKISS,104
NL,CHERY,CHERY,104
GB,EASY RIDER,EASY RIDER,103
GB,RANSOME,RANSOME,102
NL,MORELO,MORELO,101
GB,URSUS,URSUS,101
GB,MOBILVETTA,MOBILVETTA,100
NL,PLA,PLA,100
GB,TAIWAN GOLDEN BEE,TAIWAN GOLDEN BEE,100
NL,ROLLS-ROYCE,ROLLS-ROYCE,99
NL,P.L.A.,P.L.A.,99
GB,ASQUITH,ASQUITH,98
GB,HINO,HINO,97
GB,HARLEY-DAVIDSON,HARLEY-DAVIDSON,96
NL,VM,VM,96
GB,RUF,RUF,95
NL,DUTTON,DUTTON,95
GB,LANSING LINDE,LANSING LINDE,94
NL,DAX,DAX,93
NL,RANGEROVER,RANGEROVER,93
NL,GMC-MIDAS,GMC-MIDAS,93
GB,CPI,CPI,92
GB,ROADLESS,ROADLESS,92
NL,DAX COBRA,DAX COBRA,92
NL,IAV,IAV,91
GB,GAZ,GAZ,89
GB,JAGUAR LAND ROVER,JAGUAR LAND ROVER,88
GB,JORDAN,JORDAN,86
GB,KASEA,KASEA,85
NL,DE SOTO,DE SOTO,83
GB,DAIMLER CHRYSLER,DAIMLER CHRYSLER,82
GB,GRINNALL,GRINNALL,82
GB,KAISAR,KAISAR,81
NL,KABE,KABE,81
GB,BULTACO,BULTACO,80
GB,AIE,AIE,80
NL,CARAVANS INTERNAT. SPA,CARAVANS INTERNAT. SPA,80
NL,INTERNATIONAL,INTERNATIONAL,80
NL,MCLOUIS,MCLOUIS,79
GB,KINGTON,KINGTON,79
NL,FONT VENDOME,FONT VENDOME,79
GB,THWAITES,THWAITES,78
GB,MIG,MIG,78
NL,DE TOMASO,DE TOMASO,78
GB,FACTORY,FACTORY,78
NL,ARMSTRONG SIDDELEY,ARMSTRONG SIDDELEY,77
NL,HILLMAN,HILLMAN,77
GB,WINGET,WINGET,76
NL,XGO,XGO,76
NL,MOOVEO,MOOVEO,76
GB,SUKIDA,SUKIDA,76
GB,TIANJIN,TIANJIN,75
NL,ISUZU,ISUZU,75
NL,HOME CAR,HOME CAR,74
NL,IMPERIAL,IMPERIAL,73
NL,WIESMANN,WIESMANN,73
GB,MAN/VW,MAN/VW,73
NL,WESTFALEN MOBIL,WESTFALEN MOBIL,73
GB,YAMOTO,YAMOTO,72
NL,STEYR-PUCH,STEYR-PUCH,72
NL,GOGGOMOBIL,GOGGOMOBIL,72
NL,MOBIL PARTNER,MOBIL PARTNER,71
GB,PRAGA,PRAGA,70
NL,EIGENBOUW,EIGENBOUW,69
NL,ALLIED VEHICLES LTD,ALLIED VEHICLES LTD,68
NL,SPARTAN,SPARTAN,68
GB,DUCATI,DUCATI,67
NL,MOBILVETTA DESIGN,MOBILVETTA DESIGN,67
GB,WEIDEMANN,WEIDEMANN,67
NL,THINK,THINK,67
GB,TRANSBUS INT,TRANSBUS INT,66
GB,SCAMMELL,SCAMMELL,66
GB,LUEGO,LUEGO,65
NL,FIAT/NIESMANN+BISCHOFF,FIAT/NIESMANN+BISCHOFF,65
NL,NASH,NASH,65
NL,BRAVIA,BRAVIA,64
GB,CLAAS,CLAAS,64
GB,NILSSON,NILSSON,64
NL,POLSKI FIAT,POLSKI FIAT,64
NL,LEYLAND,LEYLAND,64
NL,FIAT/PILOTE,FIAT/PILOTE,64
NL,HUMBER,HUMBER,63
GB,ERF,ERF,62
NL,A.M.C.,A.M.C.,62
GB,TOMOS,TOMOS,61
NL,FENDT,FENDT,61
NL,CHATEAU,CHATEAU,61
GB,FODEN,FODEN,61
NL,HUDSON,HUDSON,60
NL,GENERAL MOTORS-GMC,GENERAL MOTORS-GMC,60
NL,MEGA,MEGA,60
GB,VDL,VDL,60
NL,ROBIN HOOD,ROBIN HOOD,60
NL,EXCALIBUR,EXCALIBUR,59
GB,NEW HOLLAND,NEW HOLLAND,59
GB,LEXMOTO,LEXMOTO,59
NL,AMC JEEP,AMC JEEP,58
NL,CHRYSLER-SIMCA,CHRYSLER-SIMCA,57
NL,TATRA,TATRA,57
NL,GAZ,GAZ,57
GB,AGRIFAC,AGRIFAC,57
NL,VAZ,VAZ,57
GB,MATBRO,MATBRO,56
GB,VINTAGE,VINTAGE,56
NL,FIAT-FLEURETTE,FIAT-FLEURETTE,56
GB,BENFORD,BENFORD,55
NL,MATRA SPORTS,MATRA SPORTS,55
NL,MARCOS,MARCOS,54
NL,AMPHICAR,AMPHICAR,54
GB,DAF TRUCKS,DAF TRUCKS,54
NL,LAGONDA,LAGONDA,53
GB,MCW,MCW,52
NL,PANTHER,PANTHER,51
NL,PININFARINA,PININFARINA,51
GB,JIANGLING,JIANGLING,50
NL,SYLVA,SYLVA,49
GB,EUCLID,EUCLID,48
NL,CRISTALL,CRISTALL,48
NL,EURAMOBIL,EURAMOBIL,47
GB,POCLAIN,POCLAIN,46
NL,MAGIRUS-DEUTZ,MAGIRUS-DEUTZ,46
NL,MINERVA,MINERVA,46
GB,KOMATSU,KOMATSU,44
NL,ACURA,ACURA,43
NL,FIAT/BAVARIA,FIAT/BAVARIA,43
NL,ARCA,ARCA,43
GB,CHARGE,CHARGE,43
NL,GLOBECAR,GLOBECAR,42
NL,GLAS,GLAS,42
GB,MZ,MZ,41
NL,WESTFALIA MOBIL,WESTFALIA MOBIL,41
NL,SACHSENRING,SACHSENRING,41
NL,AHORN,AHORN,41
NL,FRANKIA-RMB,FRANKIA-RMB,41
NL,ILUSION,ILUSION,40
NL,BURSTNER S.A.,BURSTNER S.A.,40
GB,VOXAN,VOXAN,40
NL,STEYR D PUCH,STEYR D PUCH,40
GB,SKYWING,SKYWING,40
NL,WINNEBAGO,WINNEBAGO,39
GB,GARELLI,GARELLI,39
GB,THINK GLOBAL,THINK GLOBAL,38
NL,PRINCESS,PRINCESS,38
NL,FSO,FSO,38
GB,BAJAJ,BAJAJ,38
NL,HANOMAG,HANOMAG,37
NL,CHALLANGER,CHALLANGER,37
NL,COMMER,COMMER,36
NL,AMC,AMC,36
NL,IIC,IIC,36
NL,MAXUS,MAXUS,36
NL,ERIBA,ERIBA,36
GB,POR,POR,36
GB,IRISBUS,IRISBUS,36
GB,SCORPA,SCORPA,35
GB,FORD NEW HOLLAND,FORD NEW HOLLAND,35
NL,VANDEN PLAS PRINCESS,VANDEN PLAS PRINCESS,35
NL,STANDARD,STANDARD,34
NL,LE VOYAGEUR,LE VOYAGEUR,34
NL,RAMBLER,RAMBLER,34
GB,SCUTUM,SCUTUM,34
NL,MK INDY,MK INDY,34
GB,GEM,GEM,34
NL,UNIMOG,UNIMOG,34
NL,VOLGA,VOLGA,33
NL,A.C.,A.C.,33
NL,FIAT DUCATO AFFINITY,FIAT DUCATO AFFINITY,33
GB,CASE IH,CASE IH,33
GB,REWACO,REWACO,33
NL,BMW/ALPINA,BMW/ALPINA,33
NL,HAMMOND & THIEDE,HAMMOND & THIEDE,32
NL,MAESSS,MAESSS,31
NL,BRISTOL,BRISTOL,31
NL,NECKAR,NECKAR,31
GB,HOUSEHAM,HOUSEHAM,31
NL,AUDI/PORSCHE,AUDI/PORSCHE,31
GB,EOS,EOS,31
NL,ESTEREL,ESTEREL,31
NL,BITTER,BITTER,30
NL,ROSENGART,ROSENGART,30
NL,EDSEL,EDSEL,30
NL,RANGER,RANGER,30
GB,SUNLIGHT,SUNLIGHT,30
NL,API CZ,API CZ,30
NL,QUANTUM,QUANTUM,30
GB,AVTOVAZ,AVTOVAZ,29
NL,MAYBACH,MAYBACH,29
NL,BOSMAL,BOSMAL,29
NL,LDV,LDV,28
NL,BOMBARDIER,BOMBARDIER,28
GB,MAEVING,MAEVING,28
NL,SHELBY,SHELBY,28
NL,JAC,JAC,28
NL,BARKAS,BARKAS,28
GB,TRIGANO,TRIGANO,28
NL,SIATA,SIATA,28
NL,ESSEX,ESSEX,28
GB,MAGYAR SUZUKI,MAGYAR SUZUKI,27
NL,ISO RIVOLTA,ISO RIVOLTA,27
GB,BREMACH,BREMACH,27
NL,I.V.R.,I.V.R.,27
NL,AMILCAR,AMILCAR,27
NL,J.B.A.,J.B.A.,26
GB,DONKERVOORT,DONKERVOORT,26
NL,DELAHAYE,DELAHAYE,26
NL,FACEL VEGA,FACEL VEGA,26
GB,MODENA DESIGN,MODENA DESIGN,26
NL,REMETZ,REMETZ,26
NL,KIA MOTORS,KIA MOTORS,26
NL,RENAULT SPORT,RENAULT SPORT,26
NL,ELIOS,ELIOS,25
NL,TIGER,TIGER,25
NL,NILSSON,NILSSON,25
GB,LEYLAND SCOTSTOUN,LEYLAND SCOTSTOUN,25
NL,FSM,FSM,25
NL,CLENET,CLENET,25
NL,MATHIS,MATHIS,25
NL,LANDWIND,LANDWIND,24
GB,VELOSOLEX,VELOSOLEX,24
NL,RAM,RAM,24
GB,COVENTRY CLIMAX,COVENTRY CLIMAX,23
NL,ZELFBOUW,ZELFBOUW,23
NL,CORVETTE,CORVETTE,23
GB,SEDDON/ATKINSON,SEDDON/ATKINSON,23
GB,SIMSON,SIMSON,23
NL,MOHR,MOHR,22
NL,PHOENIX,PHOENIX,22
NL,CHECKER,CHECKER,22
NL,ALFA LANCIA,ALFA LANCIA,21
NL,SPYKER,SPYKER,21
NL,WESTFALIA VAN CONVERSION,WESTFALIA VAN CONVERSION,21
NL,CARBODIES,CARBODIES,21
NL,SIMCA-FIAT,SIMCA-FIAT,21
GB,JAWA,JAWA,21
GB,SFMM,SFMM,21
